True,Predicted,0
Sports Shoes,Casual Shoes,25
Flats,Heels,21
Casual Shoes,Sports Shoes,18
Tshirts,Tops,18
Casual Shoes,Formal Shoes,14
Heels,Flats,12
Tops,Tshirts,11
Tops,Shirts,7
Tunics,Kurtis,6
Formal Shoes,Casual Shoes,6
